Mu_M,Mu_C,Stable,dB_Reduction,Recovery_MSE,Peak
0.07196856730011514,0.00026826957952797245,False,-99.0,999.0,1.9980589247667653
0.07196856730011514,0.0007196856730011514,False,-99.0,999.0,4.705067335821355
0.07196856730011514,0.0019306977288832496,False,-99.0,999.0,17.709959488539823
0.07196856730011514,0.005179474679231213,False,-99.0,999.0,47.1919504321178
0.07196856730011514,0.01389495494373136,False,-99.0,999.0,880.0721023318433
0.07196856730011514,0.03727593720314938,False,-99.0,999.0,1667.1256052069127
0.07196856730011514,0.1,False,-99.0,999.0,7443.109851637286
0.13894954943731375,1e-07,True,0.001678424076713105,0.13087488310954634,0.6691012677602097
0.13894954943731375,2.6826957952797275e-07,True,0.00027973549106235807,0.13087537194407767,0.6899199043579656
0.13894954943731375,7.196856730011514e-07,True,0.00580796972815879,0.13091098877974913,0.697916559896338
0.13894954943731375,1.9306977288832498e-06,True,0.008342808818283635,0.13073076554029808,0.6692810429652509
0.13894954943731375,5.179474679231212e-06,True,0.009334382141617121,0.13161189243318472,0.6840932437854951
0.13894954943731375,1.389495494373136e-05,True,0.053287296363399586,0.1316963091796557,0.6868725635130922
0.13894954943731375,3.727593720314938e-05,True,-0.1458565744879096,0.140660017054381,0.8106618175719353
0.13894954943731375,0.0001,True,-0.010611756811068313,0.147765083454524,0.9661889544467157
0.13894954943731375,0.00026826957952797245,True,-0.4661449208120417,0.13802574931646658,1.3377981300620274
0.13894954943731375,0.0007196856730011514,False,-99.0,999.0,3.4188392686331417
0.13894954943731375,0.0019306977288832496,False,-99.0,999.0,15.564454199674648
0.13894954943731375,0.005179474679231213,False,-99.0,999.0,58.206002481199214
0.13894954943731375,0.01389495494373136,False,-99.0,999.0,239.9158928369297
0.13894954943731375,0.03727593720314938,False,-99.0,999.0,1059.1654455269932
0.13894954943731375,0.1,False,-99.0,999.0,1534.9316582019212
0.2682695795279725,1e-07,True,-0.0007592576375599609,0.13086171428217333,0.7092986340505956
0.2682695795279725,2.6826957952797275e-07,True,0.0023664381572433774,0.13084854566320883,0.689497356605145
0.2682695795279725,7.196856730011514e-07,True,-0.004021600197070633,0.13090325407471037,0.6979309659254552
0.2682695795279725,1.9306977288832498e-06,True,-0.0030094088889141913,0.1308058943282154,0.6810073070674669
0.2682695795279725,5.179474679231212e-06,True,-0.004374732723833493,0.13159692396071793,0.6766455060620783
0.2682695795279725,1.389495494373136e-05,True,-0.0009472363724897799,0.1304478642860629,0.6987440734088054
0.2682695795279725,3.727593720314938e-05,True,0.19912082655122332,0.12704418901586517,0.7026425953653144
0.2682695795279725,0.0001,True,-0.05231112063395062,0.13468013537285023,0.7746759253494654
0.2682695795279725,0.00026826957952797245,True,-0.549176728887866,0.14555262306562772,1.1680644969334302
0.2682695795279725,0.0007196856730011514,False,-99.0,999.0,1.6762323248547029
0.2682695795279725,0.0019306977288832496,False,-99.0,999.0,5.11802190255234
0.2682695795279725,0.005179474679231213,False,-99.0,999.0,20.878830878489353
0.2682695795279725,0.01389495494373136,False,-99.0,999.0,61.64886982082681
0.2682695795279725,0.03727593720314938,False,-99.0,999.0,1123.4018820472481
0.2682695795279725,0.1,False,-99.0,999.0,2858.9894310086024
0.5179474679231207,1e-07,True,-0.0005448605164863495,0.13086577849291342,0.679225864785872
0.5179474679231207,2.6826957952797275e-07,True,0.001092033437490522,0.1308398361541991,0.6911192322690989
0.5179474679231207,7.196856730011514e-07,True,-0.003042660222640309,0.13085963476690154,0.7066455810148047
0.5179474679231207,1.9306977288832498e-06,True,-0.006686403554868485,0.13084641794433263,0.6957881347637547
0.5179474679231207,5.179474679231212e-06,True,-0.020306981859284454,0.1316815148992186,0.708842063192357
0.5179474679231207,1.389495494373136e-05,True,-0.02136085336921476,0.13048187373724365,0.6825575137273423
0.5179474679231207,3.727593720314938e-05,True,0.0025422990510225517,0.12923526848117375,0.6938000571034778
0.5179474679231207,0.0001,True,-0.01940786595860445,0.13314997447724689,0.7554926230499988
0.5179474679231207,0.00026826957952797245,True,-0.4043273907734129,0.13002851573443686,0.955341123828703
0.5179474679231207,0.0007196856730011514,True,-0.545326283017067,0.1343867621256866,1.4574790552250572
0.5179474679231207,0.0019306977288832496,False,-99.0,999.0,4.472175447325295
0.5179474679231207,0.005179474679231213,False,-99.0,999.0,24.096837403927303
0.5179474679231207,0.01389495494373136,False,-99.0,999.0,67.03758965028831
0.5179474679231207,0.03727593720314938,False,-99.0,999.0,1262.6149769894803
0.5179474679231207,0.1,False,-99.0,999.0,1177.8422118436763
1.0,1e-07,True,0.00015437758387114848,0.13085470040350686,0.6739866231125281
1.0,2.6826957952797275e-07,True,-0.00037865777388411534,0.13086641833734908,0.6902999798356023
1.0,7.196856730011514e-07,True,-0.0004596930477905113,0.13090477662285532,0.688813002264516
1.0,1.9306977288832498e-06,True,-0.0009092856906023311,0.1308379407683761,0.7287397772449781
1.0,5.179474679231212e-06,True,0.007243709144173344,0.1309073363437866,0.6849290189532117
1.0,1.389495494373136e-05,True,-0.01543695536939846,0.13100805927216497,0.6996050485174111
1.0,3.727593720314938e-05,True,0.04162193890129645,0.13104633006479569,0.6802010388605682
1.0,0.0001,True,0.16517258418325714,0.1274241574767594,0.692983911294151
1.0,0.00026826957952797245,True,0.2814493985589108,0.12274990803337889,0.7973636837174353
1.0,0.0007196856730011514,False,-99.0,999.0,1.8662902284544356
1.0,0.0019306977288832496,False,-99.0,999.0,6.455308554028873
1.0,0.005179474679231213,False,-99.0,999.0,13.08363786586559
1.0,0.01389495494373136,False,-99.0,999.0,71.6740626020219
1.0,0.03727593720314938,False,-99.0,999.0,250.55834949797227
1.0,0.1,False,-99.0,999.0,551.8435693875775
