Mu_M,Mu_C,Reduction_dB,Stability,Convergence_Delay,Score
0.3593813663804626,4.641588833612782e-07,-0.001872101891672456,STABLE,0,-0.001872101891672456
0.3593813663804626,2.1544346900318822e-06,0.004827850996649278,STABLE,0,0.004827850996649278
0.3593813663804626,9.999999999999999e-06,0.008919188753899287,STABLE,0,0.008919188753899287
0.3593813663804626,4.641588833612772e-05,0.24151518400697636,STABLE,0,0.24151518400697636
0.3593813663804626,0.00021544346900318823,-1.9255463359223268,STABLE,1,-1.9265463359223267
0.3593813663804626,0.001,-99.0,BROKEN,1,-100
0.3593813663804626,0.004641588833612773,-99.0,BROKEN,3,-100
0.3593813663804626,0.021544346900318822,-99.0,BROKEN,14,-100
0.3593813663804626,0.1,-99.0,BROKEN,1364,-100
1.0,1e-07,1.6906954101765227e-07,STABLE,0,1.6906954101765227e-07
1.0,4.641588833612782e-07,-0.00081032449170394,STABLE,0,-0.00081032449170394
1.0,2.1544346900318822e-06,0.0008684683586319469,STABLE,0,0.0008684683586319469
1.0,9.999999999999999e-06,0.005796745144064936,STABLE,0,0.005796745144064936
1.0,4.641588833612772e-05,-0.2064083032005486,STABLE,0,-0.2064083032005486
1.0,0.00021544346900318823,-0.49053119978843573,STABLE,0,-0.49053119978843573
1.0,0.001,-0.007786281714560403,STABLE,0,-0.007786281714560403
1.0,0.004641588833612773,-99.0,BROKEN,4,-100
1.0,0.021544346900318822,-99.0,BROKEN,5,-100
1.0,0.1,-99.0,BROKEN,75000,-100
