Taps,Mu_M,Mu_C,Steady_State_MSE,Stability
128,0.0007196856730011522,4.641588833612782e-06,0.13245707971333465,PASS
128,0.0007196856730011522,9.999999999999999e-06,0.13212090311185487,PASS
128,0.0007196856730011522,2.1544346900318823e-05,0.13221586417622952,PASS
128,0.0007196856730011522,4.641588833612772e-05,0.13304050200085668,PASS
128,0.0007196856730011522,0.0001,0.13443004743079884,PASS
128,0.0007196856730011522,0.00021544346900318823,0.13681483883435142,PASS
128,0.0007196856730011522,0.00046415888336127773,0.14215346427861195,PASS
128,0.0007196856730011522,0.001,0.15639706359651795,PASS
128,0.0019306977288832496,1e-06,0.13173822822076556,PASS
128,0.0019306977288832496,2.1544346900318822e-06,0.13204701201388358,PASS
128,0.0019306977288832496,4.641588833612782e-06,0.1321927062700391,PASS
128,0.0019306977288832496,9.999999999999999e-06,0.13234923245622943,PASS
128,0.0019306977288832496,2.1544346900318823e-05,0.13336609726012957,PASS
128,0.0019306977288832496,4.641588833612772e-05,0.1348163704293476,PASS
128,0.0019306977288832496,0.0001,0.1410964151090288,PASS
128,0.0019306977288832496,0.00021544346900318823,0.14960449138671247,PASS
128,0.0019306977288832496,0.00046415888336127773,0.1657618517693679,PASS
128,0.0019306977288832496,0.001,0.23684719873975169,PASS
128,0.005179474679231213,1e-06,0.1320390996235789,PASS
128,0.005179474679231213,2.1544346900318822e-06,0.1319138265629582,PASS
128,0.005179474679231213,4.641588833612782e-06,0.13278739624100713,PASS
128,0.005179474679231213,9.999999999999999e-06,0.13396165516044053,PASS
128,0.005179474679231213,2.1544346900318823e-05,0.13457994033896387,PASS
128,0.005179474679231213,4.641588833612772e-05,0.13965174184192494,PASS
128,0.005179474679231213,0.0001,0.1388427130524539,PASS
128,0.005179474679231213,0.00021544346900318823,0.16023202629706781,PASS
128,0.005179474679231213,0.00046415888336127773,0.23775745951765379,PASS
128,0.005179474679231213,0.001,1.038664199792665,FAIL
128,0.013894954943731374,1e-06,0.1323228893491122,PASS
128,0.013894954943731374,2.1544346900318822e-06,0.1326329793996151,PASS
128,0.013894954943731374,4.641588833612782e-06,0.13357843602089392,PASS
128,0.013894954943731374,9.999999999999999e-06,0.13486077331376708,PASS
128,0.013894954943731374,2.1544346900318823e-05,0.14656354022976056,PASS
128,0.013894954943731374,4.641588833612772e-05,0.14885998548873455,PASS
128,0.013894954943731374,0.0001,0.180374786742446,PASS
128,0.013894954943731374,0.00021544346900318823,0.27110377253185564,PASS
128,0.013894954943731374,0.00046415888336127773,0.698137243950242,FAIL
128,0.013894954943731374,0.001,1.6182198548049047,FAIL
128,0.03727593720314938,1e-06,0.13305672616287273,PASS
128,0.03727593720314938,2.1544346900318822e-06,0.13415884934480551,PASS
128,0.03727593720314938,4.641588833612782e-06,0.13683185174004658,PASS
128,0.03727593720314938,9.999999999999999e-06,0.13916404978733427,PASS
128,0.03727593720314938,2.1544346900318823e-05,0.1565212387418339,PASS
128,0.03727593720314938,4.641588833612772e-05,0.18796263750962777,PASS
128,0.03727593720314938,0.0001,0.3755245998226305,FAIL
128,0.03727593720314938,0.00021544346900318823,0.9756765143104432,FAIL
128,0.03727593720314938,0.00046415888336127773,2.8122095542159675,FAIL
128,0.03727593720314938,0.001,95.08563127634113,FAIL
128,0.1,1e-06,0.13288268589670466,PASS
