Mu_M,Mu_C,Median_MSE,Std_Dev,Stability
0.0006579332246575682,8.111308307896872e-05,0.5329131970778319,4.458560719049291,FAIL
0.0006579332246575682,0.0001873817422860385,7.237933803034461,468.48528834770264,FAIL
0.0006579332246575682,0.00043287612810830614,999.0,468.0595500412075,FAIL
0.0006579332246575682,0.001,999.0,469.88766102595145,FAIL
0.0012328467394420659,1e-07,0.13188131232784456,0.00016496047486329248,PASS
0.0012328467394420659,2.310129700083158e-07,0.13130848617805216,0.0006289302587400447,PASS
0.0012328467394420659,5.336699231206313e-07,0.13261040730973359,0.0010498020329631327,PASS
0.0012328467394420659,1.232846739442066e-06,0.13116710769150922,0.004760226021484217,PASS
0.0012328467394420659,2.848035868435805e-06,0.12191123529847343,0.005472342535393894,PASS
0.0012328467394420659,6.579332246575683e-06,0.11348759456131684,0.0031483427461057303,PASS
0.0012328467394420659,1.5199110829529332e-05,0.12365947639901063,0.02922910975682861,PASS
0.0012328467394420659,3.511191734215127e-05,0.19690006704531524,0.5734294474839992,PASS
0.0012328467394420659,8.111308307896872e-05,1.5933732854051859,60.74722035997211,FAIL
0.0012328467394420659,0.0001873817422860385,999.0,0.0,FAIL
0.0012328467394420659,0.00043287612810830614,999.0,0.0,FAIL
0.0012328467394420659,0.001,16.94285740751438,466.76013257342953,FAIL
0.002310129700083158,1e-07,0.1318255888153661,0.0002153174817966923,PASS
0.002310129700083158,2.310129700083158e-07,0.13194009579594815,0.0009075778259923233,PASS
0.002310129700083158,5.336699231206313e-07,0.1319031108025435,0.002626875972595462,PASS
0.002310129700083158,1.232846739442066e-06,0.13124738180174136,0.00329680103572223,PASS
0.002310129700083158,2.848035868435805e-06,0.12837397212052457,0.012393718906625373,PASS
0.002310129700083158,6.579332246575683e-06,0.10817931670751146,0.013766429691230733,PASS
0.002310129700083158,1.5199110829529332e-05,0.14159463336186662,0.46191517464849025,PASS
0.002310129700083158,3.511191734215127e-05,0.6648453149909304,0.3973190355193395,FAIL
0.002310129700083158,8.111308307896872e-05,3.5526431337144877,4.98442597805124,FAIL
0.002310129700083158,0.0001873817422860385,78.92942827217189,449.3365345527524,FAIL
0.002310129700083158,0.00043287612810830614,999.0,0.0,FAIL
0.002310129700083158,0.001,999.0,459.9107087779445,FAIL
0.004328761281083057,1e-07,0.13120059735269837,0.00036582166575445667,PASS
0.004328761281083057,2.310129700083158e-07,0.13183345385753414,0.00026375788109404347,PASS
0.004328761281083057,5.336699231206313e-07,0.13001585783672398,0.0009857493139740648,PASS
0.004328761281083057,1.232846739442066e-06,0.12914289562594855,0.004832344096658064,PASS
0.004328761281083057,2.848035868435805e-06,0.12053700367828103,0.007284814571047945,PASS
0.004328761281083057,6.579332246575683e-06,0.10823556570189184,0.014085936337774347,PASS
0.004328761281083057,1.5199110829529332e-05,0.14740869758707573,0.03304996254685252,PASS
0.004328761281083057,3.511191734215127e-05,0.3961983677403678,0.09397780898930708,PASS
0.004328761281083057,8.111308307896872e-05,0.7862683953142012,1.7191060890465657,FAIL
0.004328761281083057,0.0001873817422860385,82.03781118201317,38.120916831573425,FAIL
0.004328761281083057,0.00043287612810830614,19.123137701975537,465.0199466630356,FAIL
0.004328761281083057,0.001,999.0,470.14997989269233,FAIL
